Timestamp,Age,Mood,Context,Style,Length,Audio Filepath
2026-03-07 17:33:35,13-15,stressed,exam soon,motivational,5,static/audio/16965881-11c0-4090-9417-18f82bfdcacf.mp3
2026-03-07 19:06:41,16-18,tired,exam soon,motivational,5,static/audio/5cb762d9-21fa-43d0-a32e-c524c0c70e0a.mp3
2026-03-07 19:16:25,16-18,okay,big project,calm/soothing,5,static/audio/14e7d93c-596c-46a4-aba7-d69d5ab71aae.mp3
2026-03-07 19:20:30,16-18,okay,big project,calm/soothing,5,static/audio/a6bb812b-ce9b-48f4-849a-ed3b21fc2b17.mp3
2026-03-07 19:20:47,16-18,stressed,general study,calm/soothing,5,static/audio/74da4e18-de20-4dce-9bcb-dfdfffff4855.mp3
2026-03-07 19:34:01,18,stressed,exam soon,calm/soothing,5,static/audio/4d394184-52aa-42df-8c5b-141320c1c10a.mp3
2026-03-07 19:36:35,18,stressed,big project,calm/soothing,5,static/audio/5be1474b-d430-4733-877f-26a15529fc78.mp3
2026-03-07 19:38:27,18,stressed,exam soon,motivational,5,static/audio/0e921a08-8ecd-4cc3-b82d-412a4569dada.mp3
2026-03-07 19:39:48,18,stressed,big project,calm/soothing,5,static/audio/d958e688-0e55-4a52-83b9-c199c6c5bd7f.mp3
2026-03-07 19:43:17,18,stressed,big project,calm/soothing,5,static/audio/6b543b8a-e47f-4ef6-a08b-0764223ebda8.mp3
2026-03-07 19:45:41,20,tired,big project,calm/soothing,5,static/audio/ad752b85-2801-42d9-8b9a-aca6974bf5c5.mp3
2026-03-07 21:21:46,20,stressed,exam soon,motivational,5,static/audio/8dd28449-9bea-4c91-8f2a-736fb0e43c38.mp3
2026-03-07 21:27:33,22,stressed,exam soon,motivational,10,static/audio/3bfb9f70-d87b-447c-a210-4c4fcbfc8430.mp3
2026-03-07 21:33:41,20,stressed,exam soon,calm/soothing,5,static/audio/837ac7b2-9e38-46a5-a084-923539e381cb.mp3
2026-03-07 21:41:30,25,stressed,big project,calm/soothing,10,static/audio/fe76e944-9aa5-43d2-83c2-01550bd6bbf1.mp3
